fid,OBJECTID,WBA_ID,HydroRegion,GIS_Acres,Shape_Length,Shape_Area,Comments,Source,Last_Modified_Date,Modified_By,Date_Data_Refers_To
"19","19","16",SAC,64535.8089453502,112345.607806568,261167152.90527,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"20","20",17N,SAC,47505.4077342191,75096.0683797823,192247564.387955,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"21","21",17S,SAC,45622.212266509,147512.353960701,184626542.714818,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"22","22","18",SAC,34795.1936076085,66946.9458512969,140811152.719602,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"23","23","19",SAC,67218.6616477641,97349.096742884,272024272.594387,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"24","24","20",SAC,313513.712180561,237583.637112116,1268744979.64837,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"25","25","21",SAC,55719.5243532663,110259.287160498,225488914.982089,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"26","26","22",SAC,60561.316634489,119505.449191885,245082953.171282,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"27","27","23",SAC,76887.9984099423,154857.255644505,311154690.170756,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"28","28","24",SAC,185758.030006504,223332.297339947,751736076.744192,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"29","29",26N,SAC,139549.935386508,177047.040665495,564738552.264394,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"30","30",26S,SAC,173121.23881979,187999.858811412,700596797.171711,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"31","31",60N,SJR,446381.885269037,307021.812769537,1806443399.24402,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"32","32","61",SJR,387958.673545371,292514.707430651,1570013049.66287,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"33","33","62",SJR,347859.639892602,259450.855967059,1407738017.79313,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"34","34","63",SJR,516165.456850869,358894.268948532,2088847494.07797,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"35","35","64",SJR,538960.006236271,304130.432059046,2181093762.654,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"36","36","71",SJR,171400.118681027,346991.017844974,693631671.084437,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"37","37","72",SJR,348189.395376134,331667.072521548,1409072490.88948,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"38","38","73",SJR,173477.780208738,257841.0271975,702039668.981428,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"39","39","90",TLB,786116.8553895,434387.219535515,3181302044.98989,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"40","40","25",SAC,260560.231770386,268066.134308615,1054449847.36202,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"41","41",60S,SJR,221500.634360689,220343.279620571,896381264.72823,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
"42","42","50",SJR,88019.6779938816,177884.880747681,356202999.18712,,,2023/01/05 00:00:00,Mohammad Hasan/DWR,2022/10/24 00:00:00
