,WBA02_Storage_AF,WBA03_Storage_AF,WBA04_Storage_AF,WBA05_Storage_AF,WBA06_Storage_AF,WBA07N_Storage_AF,WBA07S_Storage_AF,WBA08N_Storage_AF,WBA08S_Storage_AF,WBA09_Storage_AF,WBA10_Storage_AF,WBA11_Storage_AF,WBA12_Storage_AF,WBA13_Storage_AF,WBA14_Storage_AF,WBA15N_Storage_AF,WBA15S_Storage_AF,WBA16_Storage_AF,WBA17N_Storage_AF,WBA17S_Storage_AF,WBA18_Storage_AF,WBA19_Storage_AF,WBA20_Storage_AF,WBA21_Storage_AF,WBA22_Storage_AF,WBA23_Storage_AF,WBA24_Storage_AF,WBA25_Storage_AF,WBA26N_Storage_AF,WBA26S_Storage_AF,WBA50_Storage_AF,WBA60N_Storage_AF,WBA60S_Storage_AF,WBA61_Storage_AF,WBA62_Storage_AF,WBA63_Storage_AF,WBA64_Storage_AF,WBA71_Storage_AF,WBA72_Storage_AF,WBA73_Storage_AF,WBA90_Storage_AF,DETAW_Storage_AF
1974-08-31,23258316.86,6847287.01,86039857.33,39160001.52,5602664.66,28325488.71,49572223.91,30188563.47,52658306.77,18686973.1,11899851.34,37223397.14,1893826.58,465521.17,1376302.05,3182233.87,8240514.35,11290707.86,6293900.69,3813944.05,13397160.12,19226013.06,47315396.75,11390221.04,11977814.59,6062065.23,4018146.26,58662671.89,14959451.47,26342927.55,14035260.07,100702843.96,50027924.27,83965109.88,92980678.04,95352373.68,144577872.07,43779780.52,108509103.54,59315448.16,363124456.81,171239442.74
1974-09-30,23254234.36,6845419.94,86012127.23,39144291.11,5603736.55,28325833.96,49557713.24,30194887.07,52665568.31,18684847.34,11895358.41,37237354.12,1894148.49,464339.24,1376227.54,3182422.44,8233466.29,11290125.66,6294469.55,3813997.74,13395764.32,19229192.09,47294210.21,11389436.59,11979342.44,6064096.95,4014438.54,58648476.88,14960495.96,26342017.6,14033389.25,100672712.38,50014071.53,83940532.25,92997594.98,95357296.24,144518166.09,43789456.19,108497686.84,59304036.85,363108026.22,171230065.32
1974-10-31,23251231.28,6845596.69,85997936.09,39138219.1,5605617.19,28333647.98,49548401.69,30196396.92,52654210.33,18683787.98,11895573.99,37250313.84,1894232.7,462589.45,1377468.52,3182369.75,8229671.26,11290037.51,6295925.06,3814206.8,13393604.52,19227039.09,47293799.75,11389008.1,11979038.29,6063734.49,4012795.95,58646667.46,14960765.92,26343759.88,14032764.7,100675995.7,50014394.88,83950075.47,93032388.17,95381347.92,144551485.32,43805893.28,108508720.07,59306343.17,363167282.28,171232398.19
1974-11-30,23252884.87,6849490.95,85994601.91,39144602.09,5605551.96,28341996.43,49536872.24,30196962.58,52642000.98,18686953.98,11896781.54,37260339.24,1893524.6,461347.3,1378389.39,3182753.24,8232484.36,11292915.71,6297657.97,3814326.17,13391988.55,19228467.39,47297597.79,11390604.2,11981643.7,6064318.93,4012671.78,58647889.98,14961027.87,26346998.64,14031437.1,100691694.64,50032646.29,83962056.69,93074516.25,95388428.63,144576482.58,43814280.68,108516310.03,59306614.36,363223328.43,171241036.0
1974-12-31,23259539.53,6854031.47,86010911.61,39158510.64,5608889.29,28356153.61,49545986.2,30207147.25,52670327.87,18697832.91,11900443.25,37271365.89,1893235.84,459665.5,1380312.59,3183998.61,8240060.06,11297777.27,6300464.5,3816014.42,13395887.03,19239183.34,47313002.58,11399140.72,11991181.39,6068078.38,4015699.08,58655328.11,14964328.63,26354547.45,14030860.82,100716962.69,50062253.91,83993646.37,93121925.69,95408885.04,144624664.27,43825141.05,108527799.21,59307185.43,363292726.88,171264523.23
1975-01-31,23256299.3,6851670.33,86013343.9,39153232.08,5612345.24,28364773.95,49542574.84,30200726.4,52652217.35,18692483.25,11903585.28,37271313.31,1891584.66,456414.16,1380528.68,3179812.25,8241223.05,11293094.75,6302048.52,3815171.43,13391359.11,19231627.32,47324229.29,11395942.2,11988783.51,6071849.3,4017838.64,58657515.53,14964522.8,26360008.8,14030609.61,100737314.11,50083921.42,84021599.97,93171783.53,95414916.01,144668706.71,43829893.48,108536363.84,59309745.42,363365830.61,171263001.08
1975-02-28,23286967.14,6872449.24,86114642.83,39214816.48,5622029.15,28393429.77,49572670.29,30241726.06,52739157.24,18736397.42,11918567.49,37288405.59,1894356.46,453746.59,1381617.92,3179005.69,8250345.57,11295780.41,6306064.02,3820225.05,13410326.92,19269892.01,47371316.61,11426093.12,12015878.55,6091416.66,4026900.93,58683835.38,14983276.48,26383974.06,14033590.0,100801932.23,50116893.63,84063045.8,93210703.64,95491943.78,144749785.07,43852243.85,108568472.42,59319456.21,363463244.03,171323366.47
1975-03-31,23325922.06,6896692.08,86212055.41,39273882.89,5633731.95,28421900.06,49603030.33,30276974.55,52798369.36,18774116.87,11933507.95,37306295.75,1894415.79,452611.85,1383117.0,3179510.12,8261409.26,11305581.32,6309594.06,3826181.15,13423554.69,19315685.32,47437928.02,11459819.65,12051254.27,6111729.86,4037728.62,58719119.2,15004024.63,26405285.09,14037643.06,100897114.9,50175424.22,84119800.27,93254853.76,95561017.91,144867207.24,43887581.47,108610704.45,59332198.58,363562986.05,171389548.02
1975-04-30,23306464.06,6880922.07,86203337.41,39267297.48,5635262.26,28421024.03,49588304.56,30255848.61,52761455.63,18746432.17,11937968.11,37301601.86,1891462.4,452033.73,1382027.27,3177153.92,8258929.61,11298659.56,6307915.43,3819854.95,13410498.63,19290859.88,47444309.1,11433100.43,12032805.07,6117399.58,4043166.18,58721743.96,15007820.16,26410055.12,14039314.45,100947087.95,50205516.96,84128618.81,93253317.26,95582705.18,144941353.13,43907322.84,108634855.16,59340367.6,363631045.42,171361960.64
1975-05-31,23312060.83,6887716.17,86203295.02,39277066.26,5637175.34,28410247.0,49551651.85,30250114.98,52730641.19,18733600.86,11933473.18,37321956.06,1893254.0,456206.82,1381433.54,3183005.9,8242491.79,11301271.86,6308651.09,3818601.1,13406546.9,19267509.78,47430223.51,11415391.56,12024574.56,6105032.86,4036805.08,58710629.45,15007083.84,26409324.37,14039206.15,100934584.94,50200253.83,84126941.14,93231444.44,95578417.43,144929001.82,43918286.98,108645559.86,59335821.39,363624731.94,171338481.34
1975-06-30,23308982.05,6887208.51,86182993.5,39265761.75,5638424.23,28388256.18,49509736.87,30241461.75,52703853.09,18718489.04,11923552.75,37323846.27,1891553.71,453676.58,1382773.82,3181451.69,8226049.06,11301284.52,6308922.28,3817753.76,13403870.16,19250484.5,47398069.44,11401431.31,12016638.56,6092072.78,4027213.98,58683233.07,15003546.53,26403082.73,14035013.66,100881047.19,50172577.29,84118811.8,93233911.4,95587926.73,144882989.44,43927287.67,108652070.06,59323605.71,363597218.04,171299051.8
1975-07-31,23306011.06,6887090.19,86154419.41,39245533.03,5639708.44,28368072.89,49473731.23,30237076.7,52692475.89,18708542.31,11913049.59,37326965.57,1889715.17,452655.5,1382324.84,3178853.2,8207026.47,11298987.74,6309770.55,3817087.16,13402794.91,19239567.88,47358625.85,11390454.15,12010347.66,6080912.62,4017509.11,58652618.32,14999282.05,26394730.14,14030923.73,100812359.33,50140369.3,84077719.88,93220394.56,95583238.93,144830257.42,43934545.43,108659292.51,59310679.65,363559514.97,171264393.58
1975-08-31,23304955.02,6888017.38,86130144.6,39232565.58,5638528.76,28352529.19,49447608.91,30235779.26,52692991.7,18702296.1,11904735.57,37335380.79,1889658.99,452214.63,1384101.93,3180699.53,8195627.62,11302240.25,6311230.81,3817921.66,13403895.59,19235767.96,47314162.05,11384508.38,12010862.84,6074048.04,4010243.02,58625528.89,14996293.66,26387832.43,14029828.61,100765247.98,50117431.44,84033476.49,93197709.73,95583958.98,144768959.17,43943382.64,108676257.38,59302805.3,363543883.05,171242279.98
1975-09-30,23295854.18,6881710.44,86096665.89,39209643.36,5638115.4,28348316.33,49430881.62,30232997.65,52686339.43,18694125.73,11899447.63,37339642.18,1889398.38,450739.03,1385501.62,3181221.66,8194351.78,11304173.75,6311175.68,3818237.66,13400253.64,19233382.88,47287469.63,11382396.55,12011631.0,6076481.24,4007310.7,58612603.41,14994085.55,26382376.06,14028421.34,100734117.5,50102599.55,84004032.11,93203182.67,95586619.79,144717412.85,43946763.68,108678084.45,59295683.79,363535549.76,171228951.59
1975-10-31,23298167.98,6884062.01,86098833.9,39218108.23,5638925.2,28357148.95,49425818.02,30238263.6,52680954.88,18699178.35,11900984.55,37341215.81,1890301.05,449202.51,1386302.3,3180980.94,8196901.47,11304097.06,6311733.52,3818115.63,13399314.05,19236337.73,47289561.68,11384346.04,12012645.03,6079249.07,4010490.38,58615114.91,14995856.34,26386867.74,14026811.73,100759010.35,50112877.19,84037776.73,93255061.07,95611025.37,144750115.89,43956389.5,108694531.53,59299804.01,363591206.08,171239233.71
1975-11-30,23301099.81,6886710.14,86101473.31,39224090.11,5637965.0,28361702.49,49415964.11,30236675.77,52669599.8,18703110.43,11902218.33,37345742.49,1890295.58,450132.65,1385564.89,3182526.79,8200634.59,11306630.37,6312171.32,3817602.74,13396702.5,19239552.76,47291399.85,11387205.72,12015117.22,6080437.61,4011379.86,58613973.01,14996270.76,26390136.8,14026836.1,100770380.96,50119828.54,84029593.55,93286063.31,95603562.19,144768987.23,43959720.62,108703997.57,59301617.82,363644633.77,171245250.49
1975-12-31,23303791.6,6889029.23,86106621.47,39232015.31,5637946.57,28368894.27,49414953.68,30238516.21,52670909.58,18708039.38,11903529.16,37355034.7,1891427.4,451667.8,1385083.58,3185923.53,8206673.05,11311200.99,6313180.7,3818366.9,13396941.79,19244818.17,47298973.74,11391975.52,12021003.34,6083037.23,4012729.94,58616478.37,14998391.33,26396020.31,14026649.91,100774956.59,50132474.55,84037925.99,93323351.52,95598431.69,144797675.21,43956771.25,108705914.43,59304122.72,363705496.82,171254271.71
1976-01-31,23292876.85,6880968.35,86088132.48,39215388.32,5637823.0,28369943.61,49410071.19,30227780.61,52650685.78,18697734.75,11903311.46,37347481.35,1888630.16,447718.25,1383997.36,3178681.04,8203561.81,11301266.61,6313797.72,3817150.79,13391829.55,19231752.45,47303771.97,11386405.65,12013904.94,6084781.18,4013820.63,58618414.29,14997746.03,26397884.16,14026976.75,100769271.37,50143005.88,84046877.45,93338477.34,95581104.54,144817999.56,43959444.72,108717635.9,59311027.85,363783672.66,171251222.32
1976-02-29,23297381.07,6885210.25,86097879.72,39221954.77,5639600.83,28374557.65,49406268.48,30226553.06,52643705.89,18697556.26,11902362.05,37343238.88,1886167.57,446512.84,1382143.36,3174454.33,8200728.86,11295348.11,6313971.27,3816150.35,13390099.65,19227631.56,47309534.25,11384505.21,12009877.92,6086694.83,4015637.5,58621602.58,14997680.82,26401323.73,14027258.3,100783515.11,50160291.52,84009407.81,93311998.77,95555425.25,144816566.2,43959974.56,108731394.7,59318390.91,363851141.67,171254073.35
1976-03-31,23296960.27,6883407.21,86106597.54,39218950.52,5642052.9,28374102.13,49399012.41,30219874.44,52630377.59,18692616.54,11899622.87,37340434.93,1882986.05,445283.58,1379910.91,3170400.83,8195077.71,11289466.13,6313766.44,3815469.37,13387188.21,19220819.78,47316941.91,11382280.64,12005979.89,6088865.37,4016620.34,58621873.99,14998282.57,26404789.51,14027777.03,100792884.86,50169215.81,83990216.84,93311081.99,95546434.63,144773800.66,43962559.44,108746343.33,59326275.78,363920044.18,171253096.73
1976-04-30,23305920.72,6889611.08,86127848.49,39224544.26,5646632.43,28380284.73,49401580.62,30223790.98,52644963.9,18690510.7,11900253.24,37344746.92,1883305.61,445849.59,1379885.72,3171683.22,8187913.56,11289635.21,6314163.61,3815512.31,13388209.11,19214947.06,47323069.14,11381671.46,12005684.38,6088746.05,4015743.52,58619905.0,14997879.96,26406113.19,14027855.71,100785979.47,50170196.53,83959811.28,93304460.08,95527720.7,144715574.45,43964577.47,108761101.99,59330307.39,363970384.85,171252279.14
1976-05-31,23311669.53,6894403.49,86130280.17,39221270.71,5647792.84,28371567.99,49385340.89,30226344.19,52650569.99,18690941.54,11889593.41,37347428.84,1880588.68,444043.3,1379148.27,3167934.58,8167698.62,11284484.59,6315397.48,3815453.57,13391668.75,19208724.89,47310265.35,11378824.12,11998710.39,6072441.38,4006932.94,58601699.53,14996670.62,26403726.95,14026480.94,100744261.99,50146202.94,83898257.7,93272414.12,95493269.14,144616748.96,43964654.26,108754019.56,59312274.96,363879954.67,171228040.12
1976-06-30,23312798.3,6896391.33,86114396.5,39211132.08,5646935.42,28352433.58,49355728.49,30228923.82,52652836.61,18692072.86,11873782.2,37349160.01,1878191.32,443827.85,1377675.39,3166023.19,8151186.88,11283944.95,6315802.81,3815013.36,13394324.7,19209368.37,47272981.95,11376045.76,11997143.88,6058939.9,3997426.05,58567550.39,14994742.56,26396567.13,14020899.94,100680490.08,50113824.4,83832776.25,93256151.9,95469152.24,144536594.58,43964471.86,108754804.56,59295720.55,363834416.55,171198681.86
1976-07-31,23312838.48,6897560.42,86090837.31,39195204.83,5644959.35,28330546.38,49328006.02,30229661.0,52655711.9,18691636.77,11857095.4,37357476.34,1877750.27,444644.99,1377204.18,3167267.22,8137429.93,11288130.66,6316696.57,3815543.22,13396909.91,19209165.83,47227610.32,11372410.02,11998485.71,6045075.95,3986924.21,58528515.43,14994006.84,26388311.68,14016214.03,100604857.78,50077299.71,83785369.04,93249853.21,95449744.85,144451617.9,43970670.02,108764078.92,59280574.13,363803136.96,171173922.77
1976-08-31,23309976.14,6896455.44,86069961.15,39183097.35,5643560.24,28313723.38,49307916.64,30231724.93,52668296.79,18693773.29,11845905.07,37363215.7,1877259.2,443153.35,1377708.45,3166170.11,8123827.29,11288176.23,6318114.63,3816503.44,13400460.32,19211982.83,47187416.51,11370577.16,12000168.91,6033859.67,3979176.88,58503192.51,14993177.69,26383061.8,14015292.38,100564797.44,50056064.96,83736808.95,93245345.27,95442430.9,144377735.75,43981666.09,108783550.42,59275446.69,363804086.59,171161615.35
1976-09-30,23295068.12,6885627.77,86032523.06,39152056.09,5642102.37,28303561.84,49296118.13,30225293.93,52664229.53,18685649.62,11840624.77,37371426.75,1878697.29,443577.7,1378551.9,3168657.27,8125083.86,11293446.98,6318449.93,3817524.82,13397991.28,19211225.34,47165218.47,11369920.08,12002800.96,6034961.62,3976414.25,58493485.97,14991625.14,26377806.23,14013689.29,100536734.34,50043477.74,83697017.1,93238012.55,95435249.53,144354804.07,43991530.8,108805694.85,59280150.86,363851882.0,171151849.17
1976-10-31,23283391.86,6877529.31,86003110.17,39128223.22,5640717.94,28298849.31,49282796.35,30213521.65,52632486.08,18673427.38,11834941.75,37369104.16,1879214.09,443336.66,1379206.72,3169670.12,8123236.04,11293880.52,6317831.29,3816306.03,13389115.16,19199479.06,47158276.18,11365413.03,11998198.54,6031426.42,3973542.6,58486213.97,14988956.42,26373063.18,14013648.7,100525412.65,50036752.87,83647262.08,93224755.13,95415093.75,144342223.39,43994625.15,108823240.19,59284434.7,363897363.19,171141611.41
1976-11-30,23280288.62,6876271.15,85992289.12,39123189.33,5639672.42,28302157.46,49277317.98,30207058.66,52613322.22,18670003.53,11835467.43,37366654.63,1879076.03,442757.7,1378785.71,3169017.33,8124355.88,11293315.65,6318132.9,3815516.05,13385052.55,19193819.18,47159386.23,11363202.5,11995185.71,6029953.53,3972500.35,58483847.59,14988354.46,26372730.74,14013478.2,100539293.59,50044347.62,83659240.36,93245142.3,95418591.9,144371705.65,43993745.34,108833732.89,59288909.4,363953576.36,171142739.15
1976-12-31,23277212.05,6875502.1,85983486.32,39122329.82,5638351.52,28308297.24,49276435.57,30204881.32,52607747.78,18670225.61,11836610.72,37365760.09,1878670.9,442413.75,1378215.03,3168329.51,8126450.98,11291996.23,6319011.63,3815539.43,13384368.34,19192401.71,47163868.64,11363491.56,11994766.35,6030229.04,3972128.72,58485056.11,14991187.5,26376009.87,14012914.39,100550533.92,50050524.85,83660794.19,93253777.78,95416464.93,144398214.27,43988996.28,108838016.51,59291932.04,364014940.22,171152570.33
1977-01-31,23282007.51,6881292.35,85985506.32,39134225.88,5637311.37,28319251.46,49280058.59,30212031.93,52616456.62,18677774.26,11838692.22,37363408.74,1878108.83,441915.07,1377694.27,3167414.43,8129271.62,11289507.56,6319693.65,3815367.56,13385565.18,19197912.19,47171903.46,11367485.16,11996661.5,6033504.07,3973592.96,58488188.48,14992321.83,26378345.58,14013094.46,100567697.02,50062642.72,83677276.18,93269433.74,95422931.22,144436291.26,43989295.11,108849596.22,59297545.56,364083165.97,171160407.09
1977-02-28,23277691.1,6879602.55,85975636.47,39132333.13,5635859.83,28323597.24,49280383.44,30210849.76,52612915.7,18678153.53,11838332.18,37361596.76,1876763.96,441502.31,1376556.44,3165763.56,8130548.81,11286789.88,6319902.15,3814963.49,13383767.48,19198708.46,47179353.19,11369342.02,11996663.86,6037275.17,3974615.56,58490839.37,14991118.4,26377934.74,14012334.74,100582944.16,50074126.11,83646888.16,93241468.41,95399675.64,144431604.75,43982855.33,108857103.44,59301587.16,364135242.95,171167928.79
1977-03-31,23277607.35,6880692.27,85971817.4,39132389.4,5634498.46,28327733.37,49277817.54,30211071.46,52612096.25,18675987.55,11835649.86,37358650.0,1874537.81,441129.08,1374558.2,3163165.17,8128038.2,11282737.37,6319521.46,3814546.55,13382103.03,19195919.64,47182956.88,11369951.09,11995468.3,6040175.34,3975027.29,58491088.69,14983852.57,26369053.8,14011800.5,100600055.96,50085249.68,83644599.65,93244023.82,95382725.71,144406804.66,43978470.51,108868160.35,59302522.74,364186210.07,171168582.25
1977-04-30,23281441.59,6885475.05,85972358.86,39127941.28,5646608.04,28329349.36,49267108.38,30213990.01,52616770.31,18671718.86,11827583.05,37351148.48,1874074.05,442271.67,1372957.16,3163921.23,8118940.75,11283703.76,6318572.15,3813816.39,13381135.48,19190200.95,47165279.19,11369359.62,11994779.09,6030224.27,3969629.66,58484480.0,14979067.65,26358343.73,14010129.14,100575451.53,50076063.62,83605447.09,93204414.75,95332147.69,144331140.25,43968535.16,108865173.79,59294022.59,364159018.45,171163010.3
1977-05-31,23282629.46,6887147.09,85973275.23,39131110.64,5649026.89,28320013.74,49242360.92,30209118.6,52609771.45,18676714.31,11816382.93,37328565.04,1870912.69,440900.49,1369655.27,3158781.1,8101338.22,11277819.89,6317311.09,3812289.79,13382816.73,19191051.67,47144825.17,11367188.05,11986574.18,6008423.8,3961257.96,58479867.04,14977942.74,26356864.2,14007171.91,100552293.79,50063764.94,83534732.69,93144383.21,95272274.05,144231319.4,43941783.38,108825728.13,59256776.52,363988216.92,171147649.1
1977-06-30,23283087.97,6888717.44,85946732.09,39114512.5,5646834.57,28292934.46,49206414.76,30197542.57,52591977.47,18670827.04,11798113.88,37313529.43,1868098.54,440802.52,1366701.04,3155627.4,8081367.06,11272458.49,6316251.73,3811140.52,13382788.39,19183714.73,47087189.5,11360522.58,11978128.48,5983724.74,3948126.17,58446498.63,14983152.23,26359532.12,13998864.91,100478779.15,50027445.17,83465046.78,93092948.85,95222164.96,144144789.96,43910835.42,108790958.1,59218600.93,363819114.23,171102113.93
1977-07-31,23284913.2,6891572.88,85921144.48,39102429.34,5644360.74,28265855.9,49170813.12,30192910.52,52581890.72,18670914.18,11780567.03,37307926.98,1866583.97,441292.54,1363836.72,3154393.74,8062874.31,11271449.51,6315697.23,3810627.03,13384342.63,19181848.22,47021823.59,11355388.16,11973536.88,5958735.82,3934089.09,58406932.37,14982842.83,26353341.85,13991096.28,100400925.21,49988564.82,83390130.03,93039155.77,95172563.84,144055605.74,43880692.32,108768417.77,59181558.96,363652611.33,171069330.32
1977-08-31,23278894.35,6887921.67,85884799.5,39079659.86,5641243.43,28237435.94,49136977.35,30187602.52,52575900.11,18665386.61,11764521.06,37299429.54,1864699.04,440935.76,1361333.61,3152350.5,8046629.32,11270213.05,6315146.1,3810450.38,13384962.62,19177705.85,46966620.53,11349373.99,11968275.86,5937739.74,3921932.45,58375262.14,14979514.4,26344527.63,13985740.11,100339290.21,49955467.27,83303443.7,92982409.48,95121597.85,143962451.08,43858443.53,108758070.35,59153486.78,363514233.89,171043853.8
1977-09-30,23266082.07,6879947.12,85857146.39,39061348.52,5640896.01,28229636.99,49133766.19,30187507.14,52590795.15,18663810.28,11758253.33,37299648.5,1864455.9,440427.78,1361494.36,3152551.83,8044793.83,11270692.12,6314889.8,3811687.4,13387123.22,19181546.46,46948267.82,11350043.89,11970652.17,5935689.58,3917265.87,58373192.37,14973137.13,26333210.18,13984360.03,100309280.66,49938247.93,83229952.75,92930181.0,95068506.6,143897550.97,43842423.0,108735015.26,59135033.2,363436670.73,171047911.59
1977-10-31,23258021.03,6874799.43,85830802.5,39042699.29,5639649.19,28223582.06,49130025.58,30178491.41,52579442.08,18654422.19,11751056.5,37284782.27,1863790.12,440024.76,1361917.3,3152542.63,8041639.12,11269055.9,6313275.26,3810711.16,13381615.95,19175198.37,46942719.15,11347562.54,11966925.42,5931069.7,3912544.99,58370868.75,14963601.6,26319332.22,13983047.4,100287944.4,49928542.16,83180289.4,92898837.07,95041003.05,143888107.85,43834958.02,108731429.86,59129988.08,363458802.82,171041831.74
1977-11-30,23263489.58,6879147.28,85835208.17,39049314.14,5638700.26,28228842.55,49138992.27,30180046.85,52590938.04,18658415.5,11753882.84,37286144.28,1864888.27,439873.57,1362056.59,3153359.27,8045465.19,11270388.54,6313887.17,3810579.05,13381028.78,19178293.78,46951683.68,11351322.2,11968824.88,5932418.82,3912737.76,58379358.28,14959847.63,26315130.9,13983091.4,100303822.44,49935728.74,83189487.91,92910194.6,95038758.37,143904162.23,43828708.25,108726530.03,59128812.35,363483689.79,171059413.29
